Discursos;Palavras-chave;Proporção;Topico
521.0;educacao, professorar, texto, lutar, publicar, ministrar, pai, brasileiro, pecar, defeso;0.0502;1.0
237.0;real, milhoes, bilhoes, dinheiro, pagar, render, valor, desempregar, cortar, povo;0.0228;6.0
530.0;pessoa, vidar, saude, nordeste, cuidar, recurso, valer, familias, situacao, precisar;0.0511;3.0
4073.0;parlamentar, pai, ver, vir, defender, politicar, dia, respeitar, pessoa, povo_brasileiro;0.3927;2.0
1094.0;lei, formar, tratar, animar, comissao, projeto, policiar, garantir, cultura, federal;0.1055;0.0
687.0;reformar, previdencia, trabalhador, aposentadoria, proposto, aposentar, ganhar, pobre, direito, viuvar;0.0662;4.0
349.0;ano, trabalhar, pai, brasileiro, contribuicao, beneficiar, ter, gerar, economia, aumentar;0.0336;9.0
1113.0;vaquejar, grande, cidade, importante, trabalhar, municipios, sul, prefeito, parabens, municipio;0.1073;7.0
70.0;mulher, crime, homem, rir, perguntar, janeiro, alguem, violencia, morte, denunciar;0.0067;8.0
1699.0;votar, projeto, emendar, aprovar, votacao, plenario, acordar, materia, questao, importante;0.1638;5.0
